ID	4A.kraken.report
d__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Sclerotiniaceae|g__Botrytis	153
d__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Sclerotiniaceae|g__Botrytis|s__Botrytis cinerea	153
d__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	1169
d__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	1169
d__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae	313
d__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Candida	313
d__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Candida|s__Candida orthopsilosis	220
d__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae	12
d__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae|g__Ogataea	12
d__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae|g__Ogataea|s__Ogataea parapolymorpha	12
d__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae	777
d__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Eremothecium	12
d__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Eremothecium|s__Eremothecium gossypii	2
d__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Eremothecium|s__Eremothecium sinecaudum	10
d__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Kluyveromyces	72
d__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Kluyveromyces|s__Kluyveromyces lactis	72
d__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Nakaseomyces	434
d__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Nakaseomyces|s__[Candida] glabrata	434
d__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Naumovozyma	2
d__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Naumovozyma|s__Naumovozyma dairenensis	2
d__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Tetrapisispora	2
d__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Tetrapisispora|s__Tetrapisispora phaffii	1
d__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Trichomonascaceae	12
d__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Trichomonascaceae|g__Sugiyamaella	12
d__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Trichomonascaceae|g__Sugiyamaella|s__Sugiyamaella lignohabitans	12
d__Eukaryota|k__Fungi|p__Ascomycota|c__Schizosaccharomycetes	52
d__Eukaryota|k__Fungi|p__Ascomycota|c__Schizosaccharomycetes|o__Schizosaccharomycetales	52
d__Eukaryota|k__Fungi|p__Ascomycota|c__Schizosaccharomycetes|o__Schizosaccharomycetales|f__Schizosaccharomycetaceae	52
d__Eukaryota|k__Fungi|p__Ascomycota|c__Schizosaccharomycetes|o__Schizosaccharomycetales|f__Schizosaccharomycetaceae|g__Schizosaccharomyces	52
d__Eukaryota|k__Fungi|p__Ascomycota|c__Schizosaccharomycetes|o__Schizosaccharomycetales|f__Schizosaccharomycetaceae|g__Schizosaccharomyces|s__Schizosaccharomyces pombe	52
d__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	5432
d__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales	85
d__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Glomerellaceae	85
d__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Glomerellaceae|g__Colletotrichum	85
d__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Glomerellaceae|g__Colletotrichum|s__Colletotrichum higginsianum	85
d__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	3795
d__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Clavicipitaceae	377
d__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Clavicipitaceae|g__Pochonia	377
d__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Clavicipitaceae|g__Pochonia|s__Pochonia chlamydosporia	377
d__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae	3021
d__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium	3021
d__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|s__Fusarium graminearum	54
d__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|s__Fusarium oxysporum	997
d__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|s__Fusarium venenatum	52
d__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Magnaporthales	15
d__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Magnaporthales|f__Pyriculariaceae	15
d__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Magnaporthales|f__Pyriculariaceae|g__Pyricularia	15
d__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Magnaporthales|f__Pyriculariaceae|g__Pyricularia|s__Pyricularia oryzae	15
d__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales	1530
d__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae	942
d__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Thermothelomyces	767
d__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Thermothelomyces|s__Thermothelomyces thermophilus	767
d__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Thielavia	175
d__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Thielavia|s__Thielavia terrestris	175
d__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariaceae	307
d__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariaceae|g__Neurospora	307
d__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariaceae|g__Neurospora|s__Neurospora crassa	307
d__Eukaryota|k__Fungi|p__Basidiomycota	380
d__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	11
d__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales	11
d__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae	11
d__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae|g__Malassezia	11
d__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae|g__Malassezia|s__Malassezia restricta	11
d__Eukaryota|k__Fungi|p__Basidiomycota|c__Tremellomycetes	369
d__Eukaryota|k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales	369
d__Eukaryota|k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales|f__Cryptococcaceae	369
d__Eukaryota|k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales|f__Cryptococcaceae|g__Cryptococcus	369
d__Eukaryota|k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales|f__Cryptococcaceae|g__Cryptococcus|s__Cryptococcus neoformans	2
d__Eukaryota|k__Metazoa	1
d__Eukaryota|k__Metazoa|p__Chordata	1
d__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	1
d__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	1
d__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates|f__Hominidae	1
d__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates|f__Hominidae|g__Homo	1
d__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates|f__Hominidae|g__Homo|s__Homo sapiens	1
d__Eukaryota|k__Viridiplantae	22564
d__Eukaryota|k__Viridiplantae|p__Chlorophyta	355
d__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae	355
d__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae|o__Mamiellales	355
d__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae|o__Mamiellales|f__Bathycoccaceae	341
d__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae|o__Mamiellales|f__Bathycoccaceae|g__Bathycoccus	341
d__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae|o__Mamiellales|f__Bathycoccaceae|g__Bathycoccus|s__Bathycoccus prasinos	341
d__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae|o__Mamiellales|f__Mamiellaceae	14
d__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae|o__Mamiellales|f__Mamiellaceae|g__Micromonas	14
d__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae|o__Mamiellales|f__Mamiellaceae|g__Micromonas|s__Micromonas commoda	14
d__Eukaryota|k__Viridiplantae|p__Streptophyta	22202
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	4
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales	4
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales|f__Funariaceae	4
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales|f__Funariaceae|g__Physcomitrella	4
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales|f__Funariaceae|g__Physcomitrella|s__Physcomitrella patens	4
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Liliopsida	1328
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Arecales	2
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Arecales|f__Arecaceae	2
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Arecales|f__Arecaceae|g__Elaeis	2
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Arecales|f__Arecaceae|g__Elaeis|s__Elaeis guineensis	2
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Asparagales	1
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Asparagales|f__Asparagaceae	1
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Asparagales|f__Asparagaceae|g__Asparagus	1
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Asparagales|f__Asparagaceae|g__Asparagus|s__Asparagus officinalis	1
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Poales	1324
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Poales|f__Poaceae	1324
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Poales|f__Poaceae|g__Brachypodium	2
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Poales|f__Poaceae|g__Brachypodium|s__Brachypodium distachyon	2
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Poales|f__Poaceae|g__Oryza	2
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Poales|f__Poaceae|g__Oryza|s__Oryza sativa	2
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Poales|f__Poaceae|g__Panicum	1093
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Poales|f__Poaceae|g__Panicum|s__Panicum hallii	1093
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Poales|f__Poaceae|g__Sorghum	1
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Poales|f__Poaceae|g__Sorghum|s__Sorghum bicolor	1
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Poales|f__Poaceae|g__Zea	225
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Poales|f__Poaceae|g__Zea|s__Zea mays	225
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Zingiberales	1
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Zingiberales|f__Musaceae	1
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Zingiberales|f__Musaceae|g__Musa	1
d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Zingiberales|f__Musaceae|g__Musa|s__Musa acuminata	1
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Apiales	8
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Apiales|f__Apiaceae	8
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Apiales|f__Apiaceae|g__Daucus	8
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Apiales|f__Apiaceae|g__Daucus|s__Daucus carota	8
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Asterales	5
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Asterales|f__Asteraceae	5
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Asterales|f__Asteraceae|g__Cynara	1
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Asterales|f__Asteraceae|g__Cynara|s__Cynara cardunculus	1
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Asterales|f__Asteraceae|g__Helianthus	4
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Asterales|f__Asteraceae|g__Helianthus|s__Helianthus annuus	4
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Brassicales	10868
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Brassicales|f__Brassicaceae	10868
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Brassicales|f__Brassicaceae|g__Brassica	10867
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Brassicales|f__Brassicaceae|g__Brassica|s__Brassica napus	372
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Brassicales|f__Brassicaceae|g__Brassica|s__Brassica oleracea	94
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Brassicales|f__Brassicaceae|g__Brassica|s__Brassica rapa	10358
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Brassicales|f__Brassicaceae|g__Camelina	1
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Brassicales|f__Brassicaceae|g__Camelina|s__Camelina sativa	1
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Caryophyllales	89
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Caryophyllales|f__Chenopodiaceae	89
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Caryophyllales|f__Chenopodiaceae|g__Beta	89
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Caryophyllales|f__Chenopodiaceae|g__Beta|s__Beta vulgaris	89
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Cucurbitales	167
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Cucurbitales|f__Cucurbitaceae	167
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Cucurbitales|f__Cucurbitaceae|g__Cucumis	16
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Cucurbitales|f__Cucurbitaceae|g__Cucumis|s__Cucumis sativus	16
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Cucurbitales|f__Cucurbitaceae|g__Cucurbita	151
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Cucurbitales|f__Cucurbitaceae|g__Cucurbita|s__Cucurbita pepo	151
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Fabales	6054
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae	6054
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae|g__Arachis	82
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae|g__Arachis|s__Arachis duranensis	22
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae|g__Arachis|s__Arachis hypogaea	17
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae|g__Arachis|s__Arachis ipaensis	24
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae|g__Cajanus	1
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae|g__Cajanus|s__Cajanus cajan	1
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae|g__Cicer	2
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae|g__Cicer|s__Cicer arietinum	2
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae|g__Lupinus	10
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae|g__Lupinus|s__Lupinus angustifolius	10
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae|g__Medicago	14
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae|g__Medicago|s__Medicago truncatula	14
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae|g__Phaseolus	4
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae|g__Phaseolus|s__Phaseolus vulgaris	4
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae|g__Vigna	5924
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae|g__Vigna|s__Vigna angularis	5923
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae|g__Vigna|s__Vigna unguiculata	1
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Gentianales	1
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Gentianales|f__Rubiaceae	1
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Gentianales|f__Rubiaceae|g__Coffea	1
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Gentianales|f__Rubiaceae|g__Coffea|s__Coffea arabica	1
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Lamiales	123
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Lamiales|f__Oleaceae	121
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Lamiales|f__Oleaceae|g__Olea	121
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Lamiales|f__Oleaceae|g__Olea|s__Olea europaea	121
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Lamiales|f__Pedaliaceae	2
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Lamiales|f__Pedaliaceae|g__Sesamum	2
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Lamiales|f__Pedaliaceae|g__Sesamum|s__Sesamum indicum	2
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Malpighiales	3
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Malpighiales|f__Salicaceae	3
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Malpighiales|f__Salicaceae|g__Populus	3
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Malpighiales|f__Salicaceae|g__Populus|s__Populus trichocarpa	3
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Malvales	966
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Malvales|f__Malvaceae	966
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Malvales|f__Malvaceae|g__Gossypium	966
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Malvales|f__Malvaceae|g__Gossypium|s__Gossypium arboreum	251
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Malvales|f__Malvaceae|g__Gossypium|s__Gossypium hirsutum	522
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Malvales|f__Malvaceae|g__Gossypium|s__Gossypium raimondii	22
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Ranunculales	8
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Ranunculales|f__Papaveraceae	8
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Ranunculales|f__Papaveraceae|g__Papaver	8
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Ranunculales|f__Papaveraceae|g__Papaver|s__Papaver somniferum	8
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Rosales	9
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Rosales|f__Rhamnaceae	1
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Rosales|f__Rhamnaceae|g__Ziziphus	1
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Rosales|f__Rhamnaceae|g__Ziziphus|s__Ziziphus jujuba	1
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Rosales|f__Rosaceae	8
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Rosales|f__Rosaceae|g__Fragaria	1
